ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002062,chondrocyte differentiation, 17/89,113/18614,3.12E-21,8.46E-19,4.47E-19,FGFR3/SMAD3/HIF1A/BMP6/BMPR1B/MAPK14/ADAMTS12/AXIN2/AMELX/BMP4/CCN2/COMP/SNAI2/EXT2/MSX2/CTNNB1/BMPR2,17
GO:0045667,regulation of osteoblast differentiation, 18/89,147/18614,9.23E-21,2.29E-18,1.21E-18,SMAD3/MEN1/BMP6/GLI1/BMPR1B/SFRP1/AXIN2/BMP4/BMP7/LRP5/SNAI2/CTHRC1/MSX2/CTNNB1/BMPR2/NOG/IFITM1/TWIST1,18
GO:0042476,odontogenesis, 16/89,135/18614,2.65E-18,6.08E-16,3.22E-16,RHOA/SP7/COL1A2/FOXC1/SHH/AXIN2/AMELX/BMP4/BMP7/PHEX/COL1A1/TGFB3/MSX2/ALPL/CTNNB1/TWIST1,16
GO:0060485,mesenchyme development, 20/89,320/18614,3.81E-17,8.12E-15,4.29E-15,BCL2/SMAD3/SNAI1/HIF1A/FOXC1/SFRP1/SHH/AXIN2/AMELX/BMP4/DCHS1/BMP7/COL1A1/TGFB3/SNAI2/MSX2/CTNNB1/BMPR2/NOG/TWIST1,20
GO:0001837,epithelial to mesenchymal transition, 16/89,172/18614,1.37E-16,2.72E-14,1.44E-14,SMAD3/SNAI1/HIF1A/FOXC1/SFRP1/AXIN2/AMELX/BMP4/BMP7/COL1A1/TGFB3/SNAI2/MSX2/CTNNB1/NOG/TWIST1,16
GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway, 21/89,398/18614,1.74E-16,3.24E-14,1.71E-14,CHRDL1/BMP8B/SMAD3/MEN1/CHRDL2/BMP6/BMPR1B/MAPK14/COL1A2/SFRP1/SHH/GPC3/BMP4/BMP7/COMP/TGFB3/FSTL3/MSX2/BMP3/BMPR2/NOG,21
GO:0048762,mesenchymal cell differentiation, 18/89,255/18614,2.02E-16,3.53E-14,1.87E-14,BCL2/SMAD3/SNAI1/HIF1A/FOXC1/SFRP1/SHH/AXIN2/AMELX/BMP4/BMP7/COL1A1/TGFB3/SNAI2/MSX2/CTNNB1/NOG/TWIST1,18
GO:0007389,pattern specification process, 22/89,467/18614,3.21E-16,5.31E-14,2.81E-14,CHRDL1/SATB2/SMAD3/SNAI1/HIF1A/GLI1/STC1/BMP1/BMPR1B/FOXC1/SFRP1/SHH/GPC3/AXIN2/BMP4/DCHS1/BMP7/LRP5/MSX2/CTNNB1/BMPR2/NOG,22
GO:0071772,response to BMP, 16/89,187/18614,5.24E-16,7.80E-14,4.13E-14,CHRDL1/CHRDL2/BMP6/BMPR1B/ADAMTS12/SFRP1/GPC3/BMP4/BMP7/COMP/TGFB3/FSTL3/MSX2/BMP3/BMPR2/NOG,16
GO:0071773,cellular response to BMP stimulus, 16/89,187/18614,5.24E-16,7.80E-14,4.13E-14,CHRDL1/CHRDL2/BMP6/BMPR1B/ADAMTS12/SFRP1/GPC3/BMP4/BMP7/COMP/TGFB3/FSTL3/MSX2/BMP3/BMPR2/NOG,16
GO:0061035,regulation of cartilage development, 12/89,73/18614,9.60E-16,1.36E-13,7.20E-14,SMAD3/BMP6/BMP1/BMPR1B/ADAMTS12/AXIN2/BMP4/CCN2/SNAI2/CTNNB1/BMPR2/NOG,12
GO:0060562,epithelial tube morphogenesis, 19/89,334/18614,1.45E-15,1.97E-13,1.04E-13,BCL2/SMAD3/CASR/HIF1A/RHOA/ADAMTS12/SFRP1/SHH/GPC3/BMP4/DCHS1/BMP7/LRP5/CTHRC1/MSX2/CTNNB1/NOG/MMP14/TWIST1,19
GO:0030509,BMP signaling pathway, 15/89,176/18614,4.90E-15,6.35E-13,3.36E-13,CHRDL1/CHRDL2/BMP6/BMPR1B/SFRP1/GPC3/BMP4/BMP7/COMP/TGFB3/FSTL3/MSX2/BMP3/BMPR2/NOG,15
GO:0030278,regulation of ossification, 13/89,119/18614,1.42E-14,1.77E-12,9.35E-13,BCL2/SMAD3/HIF1A/BMP6/MGP/BMPR1B/MAPK14/SFRP1/BMP4/BMP7/COMP/BMPR2/TWIST1,13
GO:0061383,trabecula morphogenesis, 10/89,47/18614,1.66E-14,1.98E-12,1.05E-12,RHOA/SFRP1/BMP7/THBS3/FHL2/COL1A1/PLXNB1/MMP2/MSX2/NOG,10
GO:0022612,gland morphogenesis, 13/89,123/18614,2.21E-14,2.53E-12,1.34E-12,BCL2/TNC/GLI1/SFRP1/SHH/BMP4/BMP7/TGFB3/MMP2/LRP5/SNAI2/MSX2/NOG,13
GO:0007369,gastrulation, 15/89,196/18614,2.44E-14,2.69E-12,1.42E-12,MMP9/SMAD3/SNAI1/FOXC1/SFRP1/GPC3/BMP4/BMP7/MMP2/LRP5/EXT2/CTNNB1/BMPR2/NOG/MMP14,15
GO:0001657,ureteric bud development, 12/89,97/18614,3.39E-14,3.61E-12,1.91E-12,CAT/BCL2/SMAD3/FOXC1/SFRP1/SHH/GPC3/BMP4/DCHS1/BMP7/CTNNB1/NOG,12
GO:0072163,mesonephric epithelium development, 12/89,98/18614,3.85E-14,3.83E-12,2.02E-12,CAT/BCL2/SMAD3/FOXC1/SFRP1/SHH/GPC3/BMP4/DCHS1/BMP7/CTNNB1/NOG,12
GO:0072164,mesonephric tubule development, 12/89,98/18614,3.85E-14,3.83E-12,2.02E-12,CAT/BCL2/SMAD3/FOXC1/SFRP1/SHH/GPC3/BMP4/DCHS1/BMP7/CTNNB1/NOG,12
GO:0001763,morphogenesis of a branching structure, 15/89,203/18614,4.10E-14,3.94E-12,2.08E-12,BCL2/CASR/SFRP1/SHH/GPC3/BMP4/DCHS1/COL13A1/BMP7/LRP5/SNAI2/MSX2/CTNNB1/NOG/MMP14,15
GO:0048863,stem cell differentiation, 16/89,247/18614,4.23E-14,3.94E-12,2.09E-12,BCL2/HNRNPU/HIF1A/UFL1/SP7/MAPK14/FOXC1/SFRP1/SHH/BMP4/BMP7/SNAI2/MSX2/CTNNB1/NOG/TWIST1,16
GO:0033002,muscle cell proliferation, 16/89,249/18614,4.80E-14,4.33E-12,2.29E-12,MMP9/NF1/RHOA/GLI1/MAPK11/MAPK14/FOXC1/SHH/RUNX1/BMP4/IGFBP3/TGFB3/MMP2/CTNNB1/BMPR2/NOG,16
GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, 17/89,301/18614,5.98E-14,5.24E-12,2.77E-12,CHRDL1/BMP8B/SMAD3/MEN1/CHRDL2/BMP6/SFRP1/SHH/GPC3/BMP4/BMP7/TGFB3/FSTL3/MSX2/BMP3/BMPR2/NOG,17
GO:0001823,mesonephros development, 12/89,102/18614,6.31E-14,5.37E-12,2.84E-12,CAT/BCL2/SMAD3/FOXC1/SFRP1/SHH/GPC3/BMP4/DCHS1/BMP7/CTNNB1/NOG,12
GO:0033687,osteoblast proliferation, 9/89,36/18614,7.30E-14,6.04E-12,3.20E-12,BCL2/SMAD3/RHOA/SFRP1/AXIN2/JUNB/PLXNB1/LRP5/CTHRC1,9
GO:0033280,response to vitamin D, 9/89,37/18614,9.61E-14,7.74E-12,4.09E-12,CASR/STC1/SFRP1/BMP7/PHEX/SPP1/CYP24A1/SNAI2/ALPL,9
GO:0003007,heart morphogenesis, 16/89,262/18614,1.06E-13,8.30E-12,4.39E-12,SMAD3/SNAI1/HIF1A/FOXC1/SHH/AXIN2/BMP4/DCHS1/BMP7/FHL2/SNAI2/MSX2/CTNNB1/BMPR2/NOG/TWIST1,16
GO:0030198,extracellular matrix organization, 17/89,314/18614,1.19E-13,9.11E-12,4.82E-12,IBSP/TMEM38B/MMP9/SMAD3/NF1/BMP1/COL1A2/FOXC1/ADAMTS12/RUNX1/AXIN2/COL13A1/COL1A1/CCN2/COMP/MMP2/MMP14,17
GO:0043062,extracellular structure organization, 17/89,315/18614,1.26E-13,9.36E-12,4.95E-12,IBSP/TMEM38B/MMP9/SMAD3/NF1/BMP1/COL1A2/FOXC1/ADAMTS12/RUNX1/AXIN2/COL13A1/COL1A1/CCN2/COMP/MMP2/MMP14,17
GO:0045229,external encapsulating structure organization, 17/89,317/18614,1.39E-13,1.01E-11,5.35E-12,IBSP/TMEM38B/MMP9/SMAD3/NF1/BMP1/COL1A2/FOXC1/ADAMTS12/RUNX1/AXIN2/COL13A1/COL1A1/CCN2/COMP/MMP2/MMP14,17
GO:0035265,organ growth, 14/89,180/18614,1.52E-13,1.08E-11,5.72E-12,FGFR3/TMEM38B/BCL2/GLI1/STC1/MAPK11/MAPK14/FOXC1/SHH/RUNX1/THBS3/COMP/MSX2/NOG,14
GO:0010717,regulation of epithelial to mesenchymal transition, 12/89,110/18614,1.59E-13,1.09E-11,5.75E-12,SMAD3/SNAI1/FOXC1/SFRP1/AXIN2/BMP4/BMP7/COL1A1/TGFB3/CTNNB1/NOG/TWIST1,12
GO:0010718,positive regulation of epithelial to mesenchymal transition, 10/89,58/18614,1.61E-13,1.09E-11,5.75E-12,SMAD3/SNAI1/FOXC1/AXIN2/BMP4/BMP7/COL1A1/TGFB3/CTNNB1/TWIST1,10
GO:0061138,morphogenesis of a branching epithelium, 14/89,188/18614,2.78E-13,1.84E-11,9.74E-12,BCL2/CASR/SFRP1/SHH/GPC3/BMP4/DCHS1/BMP7/LRP5/SNAI2/MSX2/CTNNB1/NOG/MMP14,14
GO:0033273,response to vitamin, 11/89,88/18614,3.74E-13,2.42E-11,1.28E-11,CAT/CASR/STC1/SFRP1/BMP7/PHEX/COL1A1/SPP1/CYP24A1/SNAI2/ALPL,11
GO:0002076,osteoblast development, 7/89,17/18614,8.40E-13,5.33E-11,2.82E-11,SATB2/SMAD3/ACHE/MEN1/SHH/LRP5/MSX2,7
GO:0048608,reproductive structure development, 16/89,301/18614,8.96E-13,5.55E-11,2.93E-11,BCL2/TNC/BMP6/GLI1/DHH/BMPR1B/FOXC1/SFRP1/SHH/BMP4/BMP7/MMP2/CTNNB1/NOG/MMP14/ROR2,16
GO:0001704,formation of primary germ layer, 12/89,127/18614,9.12E-13,5.55E-11,2.93E-11,MMP9/SMAD3/SNAI1/FOXC1/BMP4/BMP7/MMP2/EXT2/CTNNB1/BMPR2/NOG/MMP14,12
GO:0061458,reproductive system development, 16/89,305/18614,1.10E-12,6.43E-11,3.40E-11,BCL2/TNC/BMP6/GLI1/DHH/BMPR1B/FOXC1/SFRP1/SHH/BMP4/BMP7/MMP2/CTNNB1/NOG/MMP14/ROR2,16
GO:0048706,embryonic skeletal system development, 12/89,129/18614,1.10E-12,6.43E-11,3.40E-11,SATB2/SMAD3/XYLT1/SHH/BMP4/BMP7/COL1A1/TGFB3/CTNNB1/NOG/MMP14/TWIST1,12
GO:0030850,prostate gland development, 9/89,48/18614,1.24E-12,7.12E-11,3.76E-11,TNC/GLI1/SFRP1/SHH/BMP4/BMP7/MMP2/CTNNB1/NOG,9
GO:0001822,kidney development, 16/89,310/18614,1.41E-12,7.46E-11,3.95E-11,CAT/BCL2/MMP9/SMAD3/NF1/BMP6/RHOA/FOXC1/SFRP1/SHH/GPC3/BMP4/DCHS1/BMP7/CTNNB1/NOG,16
GO:0060537,muscle tissue development, 18/89,426/18614,1.42E-12,7.46E-11,3.95E-11,BCL2/HNRNPU/SMAD3/NF1/RHOA/GLI1/MAPK11/MAPK14/FOXC1/SHH/RUNX1/BMP4/BMP7/FHL2/MSX2/CTNNB1/NOG/TWIST1,18
GO:0001958,endochondral ossification, 8/89,31/18614,1.43E-12,7.46E-11,3.95E-11,FGFR3/BMP6/FOXC1/BMP4/COL13A1/COL1A1/ALPL/MMP14,8
GO:0033688,regulation of osteoblast proliferation, 8/89,31/18614,1.43E-12,7.46E-11,3.95E-11,BCL2/SMAD3/RHOA/SFRP1/AXIN2/PLXNB1/LRP5/CTHRC1,8
GO:0036075,replacement ossification, 8/89,31/18614,1.43E-12,7.46E-11,3.95E-11,FGFR3/BMP6/FOXC1/BMP4/COL13A1/COL1A1/ALPL/MMP14,8
GO:0070167,regulation of biomineral tissue development, 11/89,101/18614,1.77E-12,9.08E-11,4.80E-11,SMAD3/HIF1A/BMP6/MGP/BMPR1B/AMELX/BMP4/BMP7/COMP/BMPR2/TWIST1,11
GO:0072001,renal system development, 16/89,320/18614,2.28E-12,1.15E-10,6.08E-11,CAT/BCL2/MMP9/SMAD3/NF1/BMP6/RHOA/FOXC1/SFRP1/SHH/GPC3/BMP4/DCHS1/BMP7/CTNNB1/NOG,16
GO:0045669,positive regulation of osteoblast differentiation, 10/89,75/18614,2.39E-12,1.19E-10,6.27E-11,BMP6/BMPR1B/BMP4/BMP7/LRP5/CTHRC1/MSX2/CTNNB1/BMPR2/IFITM1,10
GO:0048732,gland development, 18/89,441/18614,2.53E-12,1.24E-10,6.55E-11,BCL2/SMAD3/TNC/HIF1A/NF1/GLI1/FOXC1/SFRP1/SHH/BMP4/BMP7/TGFB3/MMP2/LRP5/SNAI2/MSX2/CTNNB1/NOG,18
GO:0003197,endocardial cushion development, 9/89,52/18614,2.68E-12,1.29E-10,6.82E-11,SNAI1/BMP4/DCHS1/BMP7/SNAI2/MSX2/BMPR2/NOG/TWIST1,9
GO:0032963,collagen metabolic process, 11/89,108/18614,3.73E-12,1.77E-10,9.34E-11,MMP9/HIF1A/COL1A2/RUNX1/AMELX/BMP4/COL1A1/CCN2/TGFB3/MMP2/MMP14,11
GO:0032330,regulation of chondrocyte differentiation, 9/89,54/18614,3.85E-12,1.79E-10,9.47E-11,SMAD3/BMP6/BMPR1B/ADAMTS12/AXIN2/BMP4/CCN2/SNAI2/CTNNB1,9
GO:0070482,response to oxygen levels, 16/89,333/18614,4.17E-12,1.91E-10,1.01E-10,CAT/BCL2/SMAD3/CASR/HIF1A/NF1/RHOA/STC1/SFRP1/BMP7/COL1A1/CCN2/TGFB3/MMP2/MMP14/TWIST1,16
GO:0030500,regulation of bone mineralization, 10/89,80/18614,4.65E-12,2.10E-10,1.11E-10,SMAD3/HIF1A/BMP6/MGP/BMPR1B/BMP4/BMP7/COMP/BMPR2/TWIST1,10
GO:0072073,kidney epithelium development, 12/89,146/18614,4.86E-12,2.16E-10,1.14E-10,CAT/BCL2/SMAD3/FOXC1/SFRP1/SHH/GPC3/BMP4/DCHS1/BMP7/CTNNB1/NOG,12
GO:0072132,mesenchyme morphogenesis, 9/89,57/18614,6.43E-12,2.82E-10,1.49E-10,SMAD3/SNAI1/FOXC1/DCHS1/BMP7/SNAI2/MSX2/NOG/TWIST1,9
GO:0035988,chondrocyte proliferation, 7/89,23/18614,1.03E-11,4.45E-10,2.35E-10,FGFR3/STC1/BMPR1B/CCN2/COMP/BMPR2/MMP14,7
GO:0003179,heart valve morphogenesis, 9/89,60/18614,1.04E-11,4.45E-10,2.35E-10,SNAI1/RHOA/AXIN2/BMP4/DCHS1/SNAI2/BMPR2/CDH11/TWIST1,9
GO:0007584,response to nutrient, 12/89,156/18614,1.07E-11,4.48E-10,2.37E-10,CAT/CASR/STC1/SFRP1/AMELX/BMP7/PHEX/COL1A1/SPP1/CYP24A1/SNAI2/ALPL,12
GO:0048754,branching morphogenesis of an epithelial tube, 12/89,157/18614,1.15E-11,4.76E-10,2.52E-10,BCL2/CASR/SHH/GPC3/BMP4/DCHS1/BMP7/LRP5/MSX2/CTNNB1/NOG/MMP14,12
GO:0003002,regionalization, 17/89,422/18614,1.36E-11,5.56E-10,2.94E-10,SMAD3/SNAI1/HIF1A/GLI1/BMP1/BMPR1B/FOXC1/SFRP1/SHH/GPC3/AXIN2/BMP4/LRP5/MSX2/CTNNB1/BMPR2/NOG,17
GO:0036293,response to decreased oxygen levels, 15/89,306/18614,1.57E-11,6.32E-10,3.35E-10,CAT/BCL2/SMAD3/CASR/HIF1A/NF1/RHOA/STC1/SFRP1/BMP7/CCN2/TGFB3/MMP2/MMP14/TWIST1,15
GO:0061430,bone trabecula morphogenesis, 6/89,13/18614,1.68E-11,6.68E-10,3.53E-10,SFRP1/THBS3/COL1A1/PLXNB1/MMP2/MSX2,6
GO:0014706,striated muscle tissue development, 14/89,259/18614,2.16E-11,8.48E-10,4.49E-10,HNRNPU/SMAD3/GLI1/MAPK11/MAPK14/FOXC1/SHH/RUNX1/BMP4/BMP7/FHL2/MSX2/NOG/TWIST1,14
GO:0003176,aortic valve development, 8/89,43/18614,2.51E-11,9.69E-10,5.13E-10,SNAI1/RHOA/AXIN2/BMP4/SNAI2/BMPR2/CDH11/TWIST1,8
GO:0001655,urogenital system development, 9/89,66/18614,2.56E-11,9.76E-10,5.16E-10,TNC/GLI1/SFRP1/SHH/BMP4/BMP7/MMP2/CTNNB1/NOG,9
GO:2000027,regulation of animal organ morphogenesis, 11/89,129/18614,2.65E-11,1.00E-09,5.30E-10,RHOA/SFRP1/SHH/GPC3/BMP4/BMP7/SNAI2/CTHRC1/CTNNB1/NOG/ROR2,11
GO:0060740,prostate gland epithelium morphogenesis, 7/89,26/18614,2.74E-11,1.02E-09,5.41E-10,TNC/SFRP1/SHH/BMP4/BMP7/MMP2/NOG,7
GO:0001654,eye development, 16/89,385/18614,3.67E-11,1.35E-09,7.15E-10,CHRDL1/BCL2/SMAD3/ACHE/HIF1A/NF1/BMP6/BMPR1B/FOXC1/SHH/BMP4/BMP7/LRP5/CTNNB1/BMPR2/TWIST1,16
GO:0048568,embryonic organ development, 17/89,453/18614,4.15E-11,1.51E-09,7.97E-10,SATB2/SMAD3/RPL38/SNAI1/HIF1A/GLI1/FOXC1/SHH/BMP4/BMP7/JUNB/TGFB3/CTHRC1/CTNNB1/NOG/MMP14/TWIST1,17
GO:0150063,visual system development, 16/89,389/18614,4.28E-11,1.54E-09,8.13E-10,CHRDL1/BCL2/SMAD3/ACHE/HIF1A/NF1/BMP6/BMPR1B/FOXC1/SHH/BMP4/BMP7/LRP5/CTNNB1/BMPR2/TWIST1,16
GO:0060512,prostate gland morphogenesis, 7/89,28/18614,4.90E-11,1.74E-09,9.20E-10,TNC/SFRP1/SHH/BMP4/BMP7/MMP2/NOG,7
GO:1905314,semi-lunar valve development, 8/89,47/18614,5.35E-11,1.86E-09,9.85E-10,SNAI1/RHOA/AXIN2/BMP4/SNAI2/BMPR2/CDH11/TWIST1,8
GO:0048880,sensory system development, 16/89,395/18614,5.38E-11,1.86E-09,9.85E-10,CHRDL1/BCL2/SMAD3/ACHE/HIF1A/NF1/BMP6/BMPR1B/FOXC1/SHH/BMP4/BMP7/LRP5/CTNNB1/BMPR2/TWIST1,16
GO:0048771,tissue remodeling, 12/89,181/18614,6.13E-11,2.10E-09,1.11E-09,HIF1A/NF1/FOXC1/SFRP1/RUNX1/SPP1/MMP2/LRP5/CTHRC1/CTNNB1/BMPR2/MMP14,12
GO:0070977,bone maturation, 7/89,29/18614,6.44E-11,2.18E-09,1.15E-09,FGFR3/RHOA/XYLT1/ADAMTS12/DCHS1/THBS3/PLXNB1,7
GO:0003170,heart valve development, 9/89,73/18614,6.53E-11,2.18E-09,1.16E-09,SNAI1/RHOA/AXIN2/BMP4/DCHS1/SNAI2/BMPR2/CDH11/TWIST1,9
GO:0048545,response to steroid hormone, 15/89,339/18614,6.67E-11,2.21E-09,1.17E-09,BCL2/HNRNPU/UFL1/BMP6/RHOA/STC1/SFRP1/AXIN2/BMP4/BMP7/COL1A1/CCN2/SPP1/TGFB3/ALPL,15
GO:0030324,lung development, 12/89,186/18614,8.43E-11,2.76E-09,1.46E-09,TMEM38B/GLI1/SHH/GPC3/BMP4/PHEX/CCN2/TGFB3/CTNNB1/BMPR2/NOG/MMP14,12
GO:0090287,regulation of cellular response to growth factor stimulus, 15/89,345/18614,8.53E-11,2.76E-09,1.46E-09,CHRDL1/SMAD3/MEN1/HIF1A/CHRDL2/ADAMTS12/SFRP1/GPC3/BMP4/TGFB3/FSTL3/MSX2/CTNNB1/BMPR2/NOG,15
GO:0048546,digestive tract morphogenesis, 8/89,50/18614,9.03E-11,2.89E-09,1.53E-09,BCL2/SMAD3/HIF1A/GLI1/SFRP1/SHH/BMP4/CTNNB1,8
GO:0030323,respiratory tube development, 12/89,190/18614,1.08E-10,3.42E-09,1.81E-09,TMEM38B/GLI1/SHH/GPC3/BMP4/PHEX/CCN2/TGFB3/CTNNB1/BMPR2/NOG/MMP14,12
GO:0001666,response to hypoxia, 14/89,293/18614,1.11E-10,3.50E-09,1.85E-09,CAT/BCL2/SMAD3/CASR/HIF1A/NF1/RHOA/STC1/SFRP1/BMP7/TGFB3/MMP2/MMP14/TWIST1,14
GO:0048562,embryonic organ morphogenesis, 14/89,294/18614,1.17E-10,3.62E-09,1.91E-09,SATB2/SMAD3/RPL38/HIF1A/GLI1/SHH/BMP4/BMP7/TGFB3/CTHRC1/CTNNB1/NOG/MMP14/TWIST1,14
GO:0050673,epithelial cell proliferation, 17/89,488/18614,1.32E-10,4.05E-09,2.14E-09,SMAD3/MEN1/HIF1A/NF1/BMP6/GLI1/SFRP1/SHH/GPC3/BMP4/IGFBP3/SNAI2/CTNNB1/BMPR2/NOG/MMP14/TWIST1,17
GO:0071695,anatomical structure maturation, 13/89,247/18614,1.66E-10,5.04E-09,2.67E-09,FGFR3/BCL2/HIF1A/NF1/RHOA/XYLT1/ADAMTS12/DCHS1/THBS3/PLXNB1/MMP2/MSX2/CTNNB1,13
GO:0048799,animal organ maturation, 7/89,33/18614,1.73E-10,5.22E-09,2.76E-09,FGFR3/RHOA/XYLT1/ADAMTS12/DCHS1/THBS3/PLXNB1,7
GO:0003151,outflow tract morphogenesis, 9/89,82/18614,1.90E-10,5.67E-09,3.00E-09,HIF1A/FOXC1/BMP4/BMP7/MSX2/CTNNB1/BMPR2/NOG/TWIST1,9
GO:0009952,anterior/posterior pattern specification, 12/89,209/18614,3.26E-10,9.60E-09,5.08E-09,SMAD3/FOXC1/SFRP1/SHH/GPC3/AXIN2/BMP4/LRP5/MSX2/CTNNB1/BMPR2/NOG,12
GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, 10/89,122/18614,3.31E-10,9.66E-09,5.11E-09,BMP8B/MEN1/BMP6/GPC3/BMP4/BMP7/TGFB3/MSX2/BMP3/BMPR2,10
GO:0021700,developmental maturation, 14/89,319/18614,3.41E-10,9.86E-09,5.21E-09,FGFR3/CHRDL1/BCL2/HIF1A/NF1/RHOA/XYLT1/ADAMTS12/DCHS1/THBS3/PLXNB1/MMP2/MSX2/CTNNB1,14
GO:0060541,respiratory system development, 12/89,211/18614,3.63E-10,1.04E-08,5.50E-09,TMEM38B/GLI1/SHH/GPC3/BMP4/PHEX/CCN2/TGFB3/CTNNB1/BMPR2/NOG/MMP14,12
GO:0003180,aortic valve morphogenesis, 7/89,38/18614,5.03E-10,1.43E-08,7.54E-09,SNAI1/RHOA/AXIN2/BMP4/SNAI2/CDH11/TWIST1,7
