ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0009615,response to virus, 5/19,408/18614,4.45E-05,0.001907679,0.001054163,DHX9/HIF1A/DDX21/IFITM1/ADAR,5
GO:0045600,positive regulation of fat cell differentiation, 3/19,71/18614,4.93E-05,0.001996216,0.001103087,HNRNPU/SFRP1/AXIN2,3
GO:0043487,regulation of RNA stability, 4/19,207/18614,5.05E-05,0.001996216,0.001103087,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0000380,"alternative mRNA splicing, via spliceosome", 3/19,72/18614,5.14E-05,0.001996216,0.001103087,HNRNPU/RBMX/DHX9,3
GO:0061013,regulation of mRNA catabolic process, 4/19,212/18614,5.54E-05,0.002086335,0.001152886,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0034470,ncRNA processing, 5/19,432/18614,5.85E-05,0.002135632,0.001180127,GTPBP4/SIRT7/DDX21/ADAR/FBL,5
GO:0006364,rRNA processing, 4/19,218/18614,6.18E-05,0.002192641,0.00121163,GTPBP4/SIRT7/DDX21/FBL,4
GO:0009950,dorsal/ventral axis specification, 2/19,12/18614,6.48E-05,0.002234026,0.001234498,SFRP1/AXIN2,2
GO:0031331,positive regulation of cellular catabolic process, 5/19,450/18614,7.10E-05,0.002381721,0.001316114,HNRNPU/SYNCRIP/DHX9/HIF1A/AXIN2,5
GO:0022618,ribonucleoprotein complex assembly, 4/19,231/18614,7.74E-05,0.002528705,0.001397335,SNRNP200/RPL38/DHX9/ADAR,4
GO:0071826,ribonucleoprotein complex subunit organization, 4/19,239/18614,8.83E-05,0.002811204,0.001553441,SNRNP200/RPL38/DHX9/ADAR,4
GO:0033689,negative regulation of osteoblast proliferation, 2/19,15/18614,1.03E-04,0.003192881,0.001764352,SFRP1/AXIN2,2
GO:0031330,negative regulation of cellular catabolic process, 4/19,251/18614,1.07E-04,0.003231672,0.001785787,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0016072,rRNA metabolic process, 4/19,257/18614,1.17E-04,0.003455859,0.00190967,GTPBP4/SIRT7/DDX21/FBL,4
GO:0006402,mRNA catabolic process, 4/19,268/18614,1.37E-04,0.003967057,0.002192153,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0035455,response to interferon-alpha, 2/19,18/18614,1.50E-04,0.004127995,0.002281085,IFITM1/ADAR,2
GO:0045945,positive regulation of transcription by RNA polymerase III, 2/19,18/18614,1.50E-04,0.004127995,0.002281085,MYBBP1A/DDX21,2
GO:0097709,connective tissue replacement, 2/19,20/18614,1.86E-04,0.004929341,0.002723901,RUNX1/HIF1A,2
GO:0071347,cellular response to interleukin-1, 3/19,111/18614,1.87E-04,0.004929341,0.002723901,RBMX/SFRP1/HIF1A,3
GO:0051607,defense response to virus, 4/19,303/18614,2.20E-04,0.005645778,0.003119796,DHX9/DDX21/IFITM1/ADAR,4
GO:0140546,defense response to symbiont, 4/19,304/18614,2.23E-04,0.005645778,0.003119796,DHX9/DDX21/IFITM1/ADAR,4
GO:0072089,stem cell proliferation, 3/19,121/18614,2.41E-04,0.005977055,0.003302856,HNRNPU/RUNX1/AXIN2,3
GO:0061157,mRNA destabilization, 3/19,123/18614,2.53E-04,0.006149837,0.003398334,HNRNPU/SYNCRIP/DHX9,3
GO:0006401,RNA catabolic process, 4/19,319/18614,2.68E-04,0.006265918,0.003462479,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0000956,nuclear-transcribed mRNA catabolic process, 3/19,126/18614,2.71E-04,0.006265918,0.003462479,HNRNPU/SYNCRIP/DHX9,3
GO:0050779,RNA destabilization, 3/19,127/18614,2.77E-04,0.006265918,0.003462479,HNRNPU/SYNCRIP/DHX9,3
GO:0061014,positive regulation of mRNA catabolic process, 3/19,127/18614,2.77E-04,0.006265918,0.003462479,HNRNPU/SYNCRIP/DHX9,3
GO:0009895,negative regulation of catabolic process, 4/19,337/18614,3.30E-04,0.007316593,0.00404307,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0050684,regulation of mRNA processing, 3/19,139/18614,3.62E-04,0.007882095,0.004355561,HNRNPU/RBMX/DHX9,3
GO:0045727,positive regulation of translation, 3/19,141/18614,3.77E-04,0.007940573,0.004387875,HNRNPU/SYNCRIP/DHX9,3
GO:0070555,response to interleukin-1, 3/19,141/18614,3.77E-04,0.007940573,0.004387875,RBMX/SFRP1/HIF1A,3
GO:0044342,type B pancreatic cell proliferation, 2/19,29/18614,3.94E-04,0.008160699,0.004509514,SFRP1/IGFBP3,2
GO:0045598,regulation of fat cell differentiation, 3/19,146/18614,4.18E-04,0.008270269,0.004570061,HNRNPU/SFRP1/AXIN2,3
GO:0006359,regulation of transcription by RNA polymerase III, 2/19,30/18614,4.22E-04,0.008270269,0.004570061,MYBBP1A/DDX21,2
GO:0035066,positive regulation of histone acetylation, 2/19,30/18614,4.22E-04,0.008270269,0.004570061,MYBBP1A/DDX21,2
GO:0045667,regulation of osteoblast differentiation, 3/19,147/18614,4.26E-04,0.008270269,0.004570061,SFRP1/AXIN2/IFITM1,3
GO:0033688,regulation of osteoblast proliferation, 2/19,31/18614,4.51E-04,0.008617149,0.004761744,SFRP1/AXIN2,2
GO:0030336,negative regulation of cell migration, 4/19,375/18614,4.94E-04,0.009303349,0.00514093,GTPBP4/SFRP1/IGFBP3/IFITM1,4
GO:0042326,negative regulation of phosphorylation, 4/19,383/18614,5.35E-04,0.009923604,0.005483676,HNRNPU/SFRP1/IGFBP3/ADAR,4
GO:2000146,negative regulation of cell motility, 4/19,390/18614,5.73E-04,0.010363836,0.005726944,GTPBP4/SFRP1/IGFBP3/IFITM1,4
GO:0050792,regulation of viral process, 3/19,165/18614,5.97E-04,0.010363836,0.005726944,DHX9/IFITM1/ADAR,3
GO:0051168,nuclear export, 3/19,166/18614,6.08E-04,0.010363836,0.005726944,SIRT7/DHX9/ALYREF,3
GO:0033687,osteoblast proliferation, 2/19,36/18614,6.09E-04,0.010363836,0.005726944,SFRP1/AXIN2,2
GO:1900368,regulation of post-transcriptional gene silencing by RNA, 2/19,36/18614,6.09E-04,0.010363836,0.005726944,DHX9/ADAR,2
GO:2000758,positive regulation of peptidyl-lysine acetylation, 2/19,36/18614,6.09E-04,0.010363836,0.005726944,MYBBP1A/DDX21,2
GO:0034250,positive regulation of amide metabolic process, 3/19,169/18614,6.40E-04,0.010657408,0.005889168,HNRNPU/SYNCRIP/DHX9,3
GO:0060147,regulation of post-transcriptional gene silencing, 2/19,37/18614,6.44E-04,0.010657408,0.005889168,DHX9/ADAR,2
GO:0001837,epithelial to mesenchymal transition, 3/19,172/18614,6.74E-04,0.010950628,0.006051199,SFRP1/HIF1A/AXIN2,3
GO:0060966,regulation of gene silencing by RNA, 2/19,38/18614,6.79E-04,0.010950628,0.006051199,DHX9/ADAR,2
GO:0030279,negative regulation of ossification, 2/19,39/18614,7.15E-04,0.011387643,0.006292688,SFRP1/HIF1A,2
GO:0060759,regulation of response to cytokine stimulus, 3/19,177/18614,7.32E-04,0.011512143,0.006361486,DHX9/HIF1A/ADAR,3
GO:0030099,myeloid cell differentiation, 4/19,421/18614,7.64E-04,0.011854677,0.006550766,SFRP1/RUNX1/HIF1A/ADAR,4
GO:0048771,tissue remodeling, 3/19,181/18614,7.81E-04,0.011980036,0.006620038,SFRP1/RUNX1/HIF1A,3
GO:0040013,negative regulation of locomotion, 4/19,427/18614,8.05E-04,0.01206985,0.006669669,GTPBP4/SFRP1/IGFBP3/IFITM1,4
GO:0006109,regulation of carbohydrate metabolic process, 3/19,183/18614,8.07E-04,0.01206985,0.006669669,SIRT7/HIF1A/IGFBP3,3
GO:0071542,dopaminergic neuron differentiation, 2/19,42/18614,8.29E-04,0.012264267,0.006777101,SFRP1/HIF1A,2
GO:0045936,negative regulation of phosphate metabolic process, 4/19,439/18614,8.93E-04,0.013003859,0.007185792,HNRNPU/SFRP1/IGFBP3/ADAR,4
GO:0010563,negative regulation of phosphorus metabolic process, 4/19,440/18614,9.00E-04,0.013003859,0.007185792,HNRNPU/SFRP1/IGFBP3/ADAR,4
GO:0032781,positive regulation of ATP-dependent activity, 2/19,45/18614,9.52E-04,0.013478001,0.007447798,HNRNPU/DHX9,2
GO:0034655,nucleobase-containing compound catabolic process, 4/19,447/18614,9.55E-04,0.013478001,0.007447798,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:1901985,positive regulation of protein acetylation, 2/19,47/18614,0.001038248,0.014488811,0.008006361,MYBBP1A/DDX21,2
GO:0043330,response to exogenous dsRNA, 2/19,49/18614,0.001128118,0.015568031,0.008602726,DHX9/DDX21,2
GO:0048546,digestive tract morphogenesis, 2/19,50/18614,0.001174409,0.015981307,0.008831098,SFRP1/HIF1A,2
GO:0071383,cellular response to steroid hormone stimulus, 3/19,209/18614,0.001184011,0.015981307,0.008831098,HNRNPU/SFRP1/AXIN2,3
GO:0016570,histone modification, 4/19,475/18614,0.001196668,0.015981307,0.008831098,MYBBP1A/SIRT7/DDX21/FBL,4
GO:0006282,regulation of DNA repair, 3/19,214/18614,0.001267375,0.016569255,0.009155991,SIRT7/DHX9/AXIN2,3
GO:0045637,regulation of myeloid cell differentiation, 3/19,214/18614,0.001267375,0.016569255,0.009155991,SFRP1/RUNX1/HIF1A,3
GO:0044270,cellular nitrogen compound catabolic process, 4/19,486/18614,0.001302457,0.016715767,0.009236952,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0035065,regulation of histone acetylation, 2/19,53/18614,0.001318682,0.016715767,0.009236952,MYBBP1A/DDX21,2
GO:0046700,heterocycle catabolic process, 4/19,488/18614,0.001322377,0.016715767,0.009236952,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0001819,positive regulation of cytokine production, 4/19,489/18614,0.001332416,0.016715767,0.009236952,DHX9/RUNX1/HIF1A/DDX21,4
GO:0006383,transcription by RNA polymerase III, 2/19,54/18614,0.001368569,0.01682933,0.009299706,MYBBP1A/DDX21,2
GO:0071385,cellular response to glucocorticoid stimulus, 2/19,54/18614,0.001368569,0.01682933,0.009299706,HNRNPU/AXIN2,2
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome", 2/19,56/18614,0.001471024,0.017737974,0.009801813,HNRNPU/RBMX,2
GO:0043331,response to dsRNA, 2/19,56/18614,0.001471024,0.017737974,0.009801813,DHX9/DDX21,2
GO:1903053,regulation of extracellular matrix organization, 2/19,59/18614,0.001631387,0.019482522,0.010765831,RUNX1/AXIN2,2
GO:0045620,negative regulation of lymphocyte differentiation, 2/19,60/18614,0.001686616,0.019950256,0.011024296,SFRP1/RUNX1,2
GO:0033673,negative regulation of kinase activity, 3/19,239/18614,0.001739795,0.020228694,0.011178158,HNRNPU/SFRP1/ADAR,3
GO:0045668,negative regulation of osteoblast differentiation, 2/19,61/18614,0.00174273,0.020228694,0.011178158,SFRP1/AXIN2,2
GO:2000756,regulation of peptidyl-lysine acetylation, 2/19,62/18614,0.001799726,0.020696855,0.011436858,MYBBP1A/DDX21,2
GO:0045444,fat cell differentiation, 3/19,246/18614,0.001889322,0.021251089,0.011743122,HNRNPU/SFRP1/AXIN2,3
GO:0048863,stem cell differentiation, 3/19,247/18614,0.001911318,0.021251089,0.011743122,HNRNPU/SFRP1/HIF1A,3
GO:0048524,positive regulation of viral process, 2/19,64/18614,0.001916362,0.021251089,0.011743122,DHX9/ADAR,2
GO:0071384,cellular response to corticosteroid stimulus, 2/19,64/18614,0.001916362,0.021251089,0.011743122,HNRNPU/AXIN2,2
GO:0001756,somitogenesis, 2/19,66/18614,0.00203651,0.022187239,0.012260429,SFRP1/AXIN2,2
GO:0060760,positive regulation of response to cytokine stimulus, 2/19,66/18614,0.00203651,0.022187239,0.012260429,DHX9/HIF1A,2
GO:0048762,mesenchymal cell differentiation, 3/19,255/18614,0.002093096,0.022410564,0.012383836,SFRP1/HIF1A/AXIN2,3
GO:1903320,regulation of protein modification by small protein conjugation or removal, 3/19,255/18614,0.002093096,0.022410564,0.012383836,GTPBP4/SIRT7/HIF1A,3
GO:0042273,ribosomal large subunit biogenesis, 2/19,69/18614,0.002223287,0.023601046,0.013041683,GTPBP4/RPL38,2
GO:0032922,circadian regulation of gene expression, 2/19,71/18614,0.002352156,0.024757439,0.013680694,HNRNPU/MYBBP1A,2
GO:0043462,regulation of ATP-dependent activity, 2/19,73/18614,0.002484491,0.025930567,0.014328951,HNRNPU/DHX9,2
GO:0017148,negative regulation of translation, 3/19,276/18614,0.002620639,0.02712361,0.014988214,HNRNPU/SYNCRIP/DHX9,3
GO:0006260,DNA replication, 3/19,278/18614,0.002674782,0.027284757,0.015077262,GTPBP4/DHX9/ALYREF,3
GO:0060337,type I interferon-mediated signaling pathway, 2/19,76/18614,0.002689462,0.027284757,0.015077262,IFITM1/ADAR,2
GO:0051348,negative regulation of transferase activity, 3/19,279/18614,0.002702114,0.027284757,0.015077262,HNRNPU/SFRP1/ADAR,3
GO:0071357,cellular response to type I interferon, 2/19,77/18614,0.002759504,0.027418431,0.015151129,IFITM1/ADAR,2
GO:1901983,regulation of protein acetylation, 2/19,77/18614,0.002759504,0.027418431,0.015151129,MYBBP1A/DDX21,2
GO:0008088,axo-dendritic transport, 2/19,78/18614,0.002830403,0.027899683,0.015417064,HNRNPU/HIF1A,2
GO:0034340,response to type I interferon, 2/19,83/18614,0.003197687,0.031271868,0.017280497,IFITM1/ADAR,2
GO:2000113,negative regulation of cellular macromolecule biosynthetic process, 3/19,301/18614,0.003347914,0.031672801,0.017502048,HNRNPU/SYNCRIP/DHX9,3
GO:0031397,negative regulation of protein ubiquitination, 2/19,85/18614,0.003350539,0.031672801,0.017502048,GTPBP4/SIRT7,2
GO:0098586,cellular response to virus, 2/19,85/18614,0.003350539,0.031672801,0.017502048,HIF1A/ADAR,2
GO:0048511,rhythmic process, 3/19,303/18614,0.00341092,0.031672801,0.017502048,HNRNPU/MYBBP1A/DHX9,3
GO:0034103,regulation of tissue remodeling, 2/19,86/18614,0.003428232,0.031672801,0.017502048,SFRP1/RUNX1,2
GO:0045069,regulation of viral genome replication, 2/19,86/18614,0.003428232,0.031672801,0.017502048,IFITM1/ADAR,2
GO:0061053,somite development, 2/19,86/18614,0.003428232,0.031672801,0.017502048,SFRP1/AXIN2,2
GO:0034249,negative regulation of amide metabolic process, 3/19,304/18614,0.003442696,0.031672801,0.017502048,HNRNPU/SYNCRIP/DHX9,3
GO:0048145,regulation of fibroblast proliferation, 2/19,87/18614,0.003506766,0.032025024,0.017696683,DHX9/SFRP1,2
GO:0031058,positive regulation of histone modification, 2/19,88/18614,0.00358614,0.03251085,0.017965145,MYBBP1A/DDX21,2
GO:2001020,regulation of response to DNA damage stimulus, 3/19,311/18614,0.003670256,0.033032304,0.018253294,SIRT7/DHX9/AXIN2,3
GO:0006405,RNA export from nucleus, 2/19,90/18614,0.003747404,0.033483997,0.018502895,DHX9/ALYREF,2
GO:0009798,axis specification, 2/19,92/18614,0.003912009,0.03470511,0.019177669,SFRP1/AXIN2,2
GO:0060485,mesenchyme development, 3/19,320/18614,0.003976162,0.035024062,0.019353919,SFRP1/HIF1A/AXIN2,3
GO:0009953,dorsal/ventral pattern formation, 2/19,95/18614,0.004165155,0.036175681,0.019990291,SFRP1/AXIN2,2
GO:0014033,neural crest cell differentiation, 2/19,95/18614,0.004165155,0.036175681,0.019990291,SFRP1/HIF1A,2
GO:0006913,nucleocytoplasmic transport, 3/19,328/18614,0.004260847,0.036496357,0.020167493,SIRT7/DHX9/ALYREF,3
GO:0051169,nuclear transport, 3/19,328/18614,0.004260847,0.036496357,0.020167493,SIRT7/DHX9/ALYREF,3
GO:0014020,primary neural tube formation, 2/19,97/18614,0.004338059,0.036652169,0.020253593,SFRP1/HIF1A,2
GO:1903321,negative regulation of protein modification by small protein conjugation or removal, 2/19,97/18614,0.004338059,0.036652169,0.020253593,GTPBP4/SIRT7,2
GO:0062012,regulation of small molecule metabolic process, 3/19,331/18614,0.004370738,0.03667876,0.020268286,SIRT7/HIF1A/IGFBP3,3
GO:0035282,segmentation, 2/19,100/18614,0.004603592,0.038117744,0.021063454,SFRP1/AXIN2,2
GO:0140888,interferon-mediated signaling pathway, 2/19,100/18614,0.004603592,0.038117744,0.021063454,IFITM1/ADAR,2
GO:0048545,response to steroid hormone, 3/19,339/18614,0.004672226,0.038429829,0.021235909,HNRNPU/SFRP1/AXIN2,3
GO:0001933,negative regulation of protein phosphorylation, 3/19,341/18614,0.00474953,0.038808662,0.021445247,SFRP1/IGFBP3/ADAR,3
GO:0010906,regulation of glucose metabolic process, 2/19,103/18614,0.004876501,0.039074934,0.021592387,SIRT7/IGFBP3,2
GO:0045639,positive regulation of myeloid cell differentiation, 2/19,103/18614,0.004876501,0.039074934,0.021592387,RUNX1/HIF1A,2
GO:0048144,fibroblast proliferation, 2/19,103/18614,0.004876501,0.039074934,0.021592387,DHX9/SFRP1,2
GO:0001841,neural tube formation, 2/19,105/18614,0.005062517,0.039826945,0.02200794,SFRP1/HIF1A,2
GO:0032784,regulation of DNA-templated transcription elongation, 2/19,105/18614,0.005062517,0.039826945,0.02200794,HNRNPU/ALYREF,2
GO:0045765,regulation of angiogenesis, 3/19,349/18614,0.005066552,0.039826945,0.02200794,SFRP1/RUNX1/HIF1A,3
GO:0046822,regulation of nucleocytoplasmic transport, 2/19,107/18614,0.005251779,0.040746926,0.022516311,SIRT7/DHX9,2
GO:1901655,cellular response to ketone, 2/19,107/18614,0.005251779,0.040746926,0.022516311,SFRP1/AXIN2,2
GO:1901342,regulation of vasculature development, 3/19,355/18614,0.005312577,0.040746926,0.022516311,SFRP1/RUNX1/HIF1A,3
GO:0032963,collagen metabolic process, 2/19,108/18614,0.005347624,0.040746926,0.022516311,RUNX1/HIF1A,2
GO:0048024,"regulation of mRNA splicing, via spliceosome", 2/19,108/18614,0.005347624,0.040746926,0.022516311,HNRNPU/RBMX,2
GO:1902106,negative regulation of leukocyte differentiation, 2/19,109/18614,0.005444275,0.041230426,0.022783488,SFRP1/RUNX1,2
GO:0010717,regulation of epithelial to mesenchymal transition, 2/19,110/18614,0.005541732,0.041714128,0.023050777,SFRP1/AXIN2,2
GO:0002062,chondrocyte differentiation, 2/19,113/18614,0.005838918,0.043686365,0.024140614,HIF1A/AXIN2,2
GO:1903707,negative regulation of hemopoiesis, 2/19,115/18614,0.00604104,0.044927978,0.024826715,SFRP1/RUNX1,2
GO:0018205,peptidyl-lysine modification, 3/19,374/18614,0.006139094,0.045385447,0.025079508,MYBBP1A/SIRT7/DDX21,3
GO:0030278,regulation of ossification, 2/19,119/18614,0.006454824,0.047437224,0.026213298,SFRP1/HIF1A,2
GO:0030282,bone mineralization, 2/19,121/18614,0.00666646,0.048704371,0.026913509,HIF1A/AXIN2,2
GO:0002761,regulation of myeloid leukocyte differentiation, 2/19,123/18614,0.006881243,0.049979551,0.02761816,SFRP1/RUNX1,2
GO:0001838,embryonic epithelial tube formation, 2/19,126/18614,0.00720929,0.052057778,0.028766566,SFRP1/HIF1A,2
GO:0006338,chromatin remodeling, 3/19,402/18614,0.007491611,0.053543312,0.029587456,MYBBP1A/SIRT7/DDX21,3
GO:0006354,DNA-templated transcription elongation, 2/19,129/18614,0.007544348,0.053543312,0.029587456,HNRNPU/ALYREF,2
GO:0019079,viral genome replication, 2/19,129/18614,0.007544348,0.053543312,0.029587456,IFITM1/ADAR,2
GO:0030218,erythrocyte differentiation, 2/19,130/18614,0.007657584,0.053732879,0.029692209,HIF1A/ADAR,2
GO:0051028,mRNA transport, 2/19,130/18614,0.007657584,0.053732879,0.029692209,DHX9/ALYREF,2
GO:0002244,hematopoietic progenitor cell differentiation, 2/19,132/18614,0.007886375,0.055027401,0.030407548,SFRP1/ADAR,2
GO:0048565,digestive tract development, 2/19,134/18614,0.008118244,0.056328825,0.0311267,SFRP1/HIF1A,2
GO:1903706,regulation of hemopoiesis, 3/19,415/18614,0.008175333,0.056409796,0.031171444,SFRP1/RUNX1/HIF1A,3
GO:0006275,regulation of DNA replication, 2/19,136/18614,0.008353181,0.057318514,0.031673592,GTPBP4/DHX9,2
GO:0003002,regionalization, 3/19,422/18614,0.00855839,0.058169075,0.032143603,SFRP1/HIF1A/AXIN2,3
GO:0072175,epithelial tube formation, 2/19,138/18614,0.008591173,0.058169075,0.032143603,SFRP1/HIF1A,2
GO:0034101,erythrocyte homeostasis, 2/19,139/18614,0.008711311,0.058169075,0.032143603,HIF1A/ADAR,2
GO:0034341,response to type II interferon, 2/19,139/18614,0.008711311,0.058169075,0.032143603,SYNCRIP/IFITM1,2
GO:0090090,negative regulation of canonical Wnt signaling pathway, 2/19,139/18614,0.008711311,0.058169075,0.032143603,SFRP1/AXIN2,2
GO:0016032,viral process, 3/19,426/18614,0.008781998,0.058327497,0.032231145,DHX9/IFITM1/ADAR,3
GO:0031056,regulation of histone modification, 2/19,141/18614,0.008953862,0.059152644,0.032687112,MYBBP1A/DDX21,2
GO:0051384,response to glucocorticoid, 2/19,142/18614,0.009076273,0.059644081,0.032958675,HNRNPU/AXIN2,2
GO:1903900,regulation of viral life cycle, 2/19,143/18614,0.009199439,0.060135279,0.033230106,IFITM1/ADAR,2
GO:0055123,digestive system development, 2/19,146/18614,0.009573449,0.062252478,0.034400047,SFRP1/HIF1A,2
GO:0051053,negative regulation of DNA metabolic process, 2/19,148/18614,0.009826535,0.062787117,0.034695483,HNRNPU/GTPBP4,2
GO:0071456,cellular response to hypoxia, 2/19,149/18614,0.009954197,0.062787117,0.034695483,SFRP1/HIF1A,2
GO:0046886,positive regulation of hormone biosynthetic process, 1/19,10/18614,0.010163058,0.062787117,0.034695483,HIF1A,1
GO:0048865,stem cell fate commitment, 1/19,10/18614,0.010163058,0.062787117,0.034695483,SFRP1,1
GO:0060346,bone trabecula formation, 1/19,10/18614,0.010163058,0.062787117,0.034695483,SFRP1,1
GO:0060525,prostate glandular acinus development, 1/19,10/18614,0.010163058,0.062787117,0.034695483,SFRP1,1
GO:0070099,regulation of chemokine-mediated signaling pathway, 1/19,10/18614,0.010163058,0.062787117,0.034695483,HIF1A,1
GO:2000234,positive regulation of rRNA processing, 1/19,10/18614,0.010163058,0.062787117,0.034695483,SIRT7,1
GO:2000271,positive regulation of fibroblast apoptotic process, 1/19,10/18614,0.010163058,0.062787117,0.034695483,SFRP1,1
GO:2001054,negative regulation of mesenchymal cell apoptotic process, 1/19,10/18614,0.010163058,0.062787117,0.034695483,HIF1A,1
GO:0010821,regulation of mitochondrion organization, 2/19,151/18614,0.010211753,0.062787117,0.034695483,SIRT7/HIF1A,2
GO:0010675,regulation of cellular carbohydrate metabolic process, 2/19,152/18614,0.010341644,0.062962362,0.034792322,SIRT7/IGFBP3,2
